Data supplied by UK-AIR on 1/6/2026
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,London Bloomsbury,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit
 
01-01-2026,01:00,28.275,P,ugm-3 (FIDAS),1.14448,P,ugm-3,32.17625,P,ugm-3,33.93109,P,ugm-3,21.72213,P,ugm-3,24.835,P,ugm-3 (Ref.eq),0.52842,P,ugm-3
01-01-2026,02:00,36.925,P,ugm-3 (FIDAS),1.28754,P,ugm-3,29.98670,P,ugm-3,31.96090,P,ugm-3,26.26532,P,ugm-3,32.146,P,ugm-3 (Ref.eq),,,
01-01-2026,03:00,19.175,P,ugm-3 (FIDAS),0.67954,P,ugm-3,22.92874,P,ugm-3,23.97068,P,ugm-3,35.99059,P,ugm-3,16.392,P,ugm-3 (Ref.eq),0.33026,P,ugm-3
01-01-2026,04:00,12.850,P,ugm-3 (FIDAS),0.46495,P,ugm-3,18.87956,P,ugm-3,19.59247,P,ugm-3,42.48593,P,ugm-3,10.731,P,ugm-3 (Ref.eq),0.26421,P,ugm-3
01-01-2026,05:00,10.275,P,ugm-3 (FIDAS),0.42918,P,ugm-3,17.94931,P,ugm-3,18.60737,P,ugm-3,44.34935,P,ugm-3,8.538,P,ugm-3 (Ref.eq),0.13211,P,ugm-3
01-01-2026,06:00,8.400,P,ugm-3 (FIDAS),0.46495,P,ugm-3,19.91939,P,ugm-3,20.63230,P,ugm-3,45.78684,P,ugm-3,6.722,P,ugm-3 (Ref.eq),0.19816,P,ugm-3
01-01-2026,07:00,7.650,P,ugm-3 (FIDAS),0.32189,P,ugm-3,19.09892,P,ugm-3,19.59247,P,ugm-3,49.46044,P,ugm-3,5.708,P,ugm-3 (Ref.eq),0.19816,P,ugm-3
01-01-2026,08:00,8.275,P,ugm-3 (FIDAS),0.32189,P,ugm-3,17.18346,P,ugm-3,17.67701,P,ugm-3,47.33082,P,ugm-3,6.651,P,ugm-3 (Ref.eq),0.26421,P,ugm-3
01-01-2026,09:00,7.900,P,ugm-3 (FIDAS),1.57366,P,ugm-3,25.11506,P,ugm-3,27.52797,P,ugm-3,41.79380,P,ugm-3,6.226,P,ugm-3 (Ref.eq),0.26421,P,ugm-3
01-01-2026,10:00,6.525,P,ugm-3 (FIDAS),4.39910,P,ugm-3,30.25065,P,ugm-3,36.99584,P,ugm-3,46.58545,P,ugm-3,4.693,P,ugm-3 (Ref.eq),0.39632,P,ugm-3
01-01-2026,11:00,5.800,P,ugm-3 (FIDAS),3.00426,P,ugm-3,22.42895,P,ugm-3,27.03542,P,ugm-3,51.21737,P,ugm-3,4.104,P,ugm-3 (Ref.eq),0.33026,P,ugm-3
01-01-2026,12:00,5.375,P,ugm-3 (FIDAS),6.15159,P,ugm-3,33.69303,P,ugm-3,43.12533,P,ugm-3,48.02294,P,ugm-3,3.420,P,ugm-3 (Ref.eq),0.66053,P,ugm-3
